	passenger_count	trip_distance	tip_amount	total_amount	tip_percentage
120	1	0.5	0.0	5.8	0.0
121	1	2.7	5.2	26.0	0.2
122	1	1.1	1.0	10.3	0.0970873786407767
123	1	0.5	1.35	8.15	0.16564417177914112
124	1	10.6	9.66	58.0	0.16655172413793104
125	2	0.4	1.0	5.8	0.1724137931034483
126	3	1.06	1.86	11.16	0.16666666666666669
127	1	1.52	1.5	10.3	0.14563106796116504
128	4	3.46	3.36	20.16	0.16666666666666666
129	5	3.17	4.96	29.76	0.16666666666666666
130	4	0.63	0.0	5.3	0.0
131	2	1.72	2.56	15.36	0.16666666666666669
132	1	1.3	0.0	12.8	0.0
133	1	0.9	0.0	8.3	0.0
134	1	1.33	1.96	11.76	0.16666666666666666
135	4	6.2	0.0	23.3	0.0
136	1	1.93	0.0	9.3	0.0
137	1	0.8	0.0	6.3	0.0
138	1	0.3	1.15	6.95	0.16546762589928055
139	1	0.3	0.85	5.15	0.16504854368932037
140	1	0.52	0.0	4.8	0.0
141	2	0.55	0.0	7.3	0.0
142	2	0.6	0.0	12.3	0.0
143	1	3.4	4.16	24.96	0.16666666666666666
144	1	7.4	0.0	34.34	0.0
145	1	0.8	1.0	7.3	0.136986301369863
146	6	1.21	2.45	12.25	0.2
147	1	0.91	0.0	6.3	0.0
148	1	12.35	13.08	65.42	0.199938856618771
149	1	0.0	1.0	4.3	0.23255813953488372
150	1	1.45	2.16	12.96	0.16666666666666666
151	1	1.2	0.0	7.8	0.0
152	1	7.35	0.0	25.3	0.0
153	1	5.8	0.0	21.8	0.0
154	2	4.45	5.16	30.96	0.16666666666666666
155	1	11.6	8.75	52.55	0.1665080875356803
156	1	1.71	0.0	14.3	0.0
157	1	0.7	1.15	6.95	0.16546762589928055
158	1	1.0	1.0	11.3	0.08849557522123894
159	1	2.27	2.0	14.8	0.13513513513513511
160	1	2.4	3.46	20.76	0.16666666666666666
161	5	0.7	0.0	7.8	0.0
162	1	0.1	0.0	52.8	0.0
163	1	1.49	0.0	10.3	0.0
164	1	1.2	3.45	20.75	0.16626506024096385
165	1	0.8	1.45	8.75	0.1657142857142857
166	1	0.48	0.0	5.3	0.0
167	1	7.3	5.35	32.15	0.16640746500777603
168	1	0.98	1.56	9.36	0.16666666666666669
169	1	2.9	0.0	21.3	0.0
170	1	4.8	0.7	25.5	0.027450980392156862
171	1	1.34	2.76	16.56	0.16666666666666666
172	1	1.69	0.0	7.8	0.0
173	2	1.11	0.0	7.8	0.0
174	1	6.65	7.66	45.96	0.16666666666666666
175	1	0.4	0.0	4.3	0.0
176	1	0.76	1.36	8.16	0.16666666666666669
177	1	6.93	3.0	26.3	0.11406844106463879
178	1	2.6	3.8	19.1	0.19895287958115182
179	1	0.97	1.56	9.36	0.16666666666666669
180	1	1.0	1.0	9.3	0.1075268817204301
181	1	2.2	0.0	13.3	0.0
