	passenger_count	trip_distance	total_amount
265	1	1.24	8.3
266	6	10.77	42.36
267	6	0.59	5.3
268	1	1.34	11.76
269	1	1.1	9.36
270	1	1.35	13.5
271	1	10.3	31.3
272	5	0.5	9.8
273	1	0.69	13.3
274	3	0.33	7.54
275	1	0.7	9.3
276	1	0.8	7.3
277	1	3.1	17.8
278	1	0.8	6.3
279	5	1.53	9.3
280	1	3.4	15.35
281	1	5.7	20.3
282	1	13.3	47.85
283	2	8.15	35.76
284	5	1.89	24.36
285	1	3.9	27.87
286	2	9.96	54.41
287	1	1.5	15.38
288	1	0.7	9.79
289	1	1.47	11.8
290	1	0.83	19.89
291	1	1.89	11.8
292	1	0.67	7.3
293	1	2.5	16.3
294	1	1.2	12.8
295	1	3.8	24.95
296	1	10.4	39.63
297	2	0.0	2.3
298	6	1.05	12.09
299	1	2.04	16.56
300	2	2.71	15.3
301	2	3.09	14.3
302	1	0.5	7.5
303	1	11.08	62.21
304	1	4.6	19.3
305	1	0.7	8.3
306	2	1.04	11.8
307	2	0.75	8.19
308	1	2.1	12.8
309	6	1.78	26.62
310	1	1.5	8.8
311	1	2.12	17.76
312	2	3.82	15.3
313	1	1.8	14.18
314	1	0.8	7.55
315	1	0.3	4.3
316	1	0.32	5.8
317	1	2.3	18.96
318	1	1.0	6.8
319	1	1.4	10.37
320	1	0.85	9.8
321	1	1.09	13.8
322	1	0.71	7.88
323	1	1.8	12.96
324	5	0.72	9.3
325	1	9.44	54.84
326	1	1.01	9.3
327	1	1.6	14.75
328	1	2.2	11.3
329	1	10.5	47.34
330	1	0.5	5.75
331	1	0.6	7.3
332	2	1.45	11.8
333	1	1.2	14.3
334	1	0.09	4.3
335	1	8.1	36.35
336	1	7.5	24.8
337	3	2.7	24.35
338	1	3.58	30.36
339	2	1.7	14.75
340	1	5.5	27.87
341	1	1.8	9.8
342	1	3.5	20.8
343	1	1.76	14.75
344	1	2.0	10.91
345	1	0.54	6.96
346	1	14.27	52.8
347	1	0.96	15.36
348	1	1.6	11.8
349	1	2.2	14.15
350	1	3.28	28.56
351	1	3.0	14.75
352	2	1.2	14.15
353	1	9.55	41.0
354	1	1.07	7.3
355	1	2.1	11.3
356	1	6.6	32.75
357	2	3.53	24.8
358	1	2.0	12.8
359	6	0.76	5.3
360	1	0.6	7.25
361	2	0.93	8.16
362	1	0.6	6.8
363	1	1.59	17.8
364	1	1.8	15.96
365	1	0.7	9.55
366	1	0.5	6.8
367	1	1.75	11.76
368	1	10.6	57.39
369	1	2.7	14.3
370	5	7.45	37.34
371	1	2.12	13.8
372	1	2.14	15.8
373	1	0.8	8.5
374	1	7.0	25.8
375	1	0.5	6.8
376	1	0.85	8.76
377	1	0.84	9.75
378	2	1.1	8.8
