	passenger_count	trip_distance	total_amount
1146	1	0.8	6.8
1147	1	3.93	25.8
1148	3	1.57	18.96
1149	2	0.79	7.56
1150	1	1.0	8.8
1151	1	1.83	17.16
1152	1	0.7	6.8
1153	1	6.6	29.3
1154	1	0.7	9.1
1155	1	0.7	5.8
1156	1	3.2	21.0
1157	2	1.07	7.8
1158	2	0.86	8.76
1159	1	2.3	18.3
1160	5	2.31	16.3
1161	2	1.51	14.3
1162	1	2.5	16.8
1163	1	11.1	50.79
1164	1	1.63	11.3
1165	1	1.0	14.15
1166	1	11.09	52.8
1167	1	0.87	7.8
1168	1	0.3	12.25
1169	1	1.4	6.8
1170	1	1.44	9.3
1171	2	0.92	11.44
1172	1	2.2	14.75
1173	1	1.19	15.96
1174	6	1.52	13.56
1175	3	3.34	19.8
1176	1	3.3	29.76
1177	1	0.8	8.75
1178	1	4.8	31.4
1179	2	0.8	6.8
1180	6	2.39	15.3
1181	2	1.4	16.56
1182	1	1.14	7.3
1183	1	4.0	15.8
1184	1	0.5	7.8
1185	1	0.4	6.36
1186	1	2.2	24.13
1187	1	1.29	11.3
1188	1	1.7	20.75
1189	1	3.3	24.8
1190	1	1.7	18.3
1191	1	2.3	15.3
1192	2	0.7	7.3
1193	1	1.7	15.3
1194	6	1.26	12.88
1195	1	1.57	11.76
1196	6	9.17	51.68
1197	1	6.05	41.62
1198	1	1.07	9.36
1199	1	1.14	9.36
1200	1	1.4	8.3
1201	1	0.71	7.8
1202	4	0.9	7.8
1203	1	0.81	6.3
1204	2	2.9	16.3
1205	1	1.6	8.3
1206	1	3.0	18.8
1207	1	1.3	16.55
1208	5	1.28	8.3
1209	3	1.0	9.55
1210	1	0.5	6.95
1211	1	1.13	11.8
1212	1	12.2	44.15
1213	1	0.64	7.3
1214	1	4.8	16.3
1215	1	0.63	6.89
1216	1	0.78	8.76
1217	1	0.5	4.8
1218	1	0.8	9.45
1219	1	0.0	11.0
1220	1	1.36	11.76
1221	1	1.5	9.8
1222	1	3.5	20.3
1223	1	2.03	14.16
1224	1	0.7	8.19
1225	1	10.8	41.34
1226	1	0.8	7.8
1227	1	9.1	55.61
1228	1	1.76	13.8
1229	1	0.6	15.36
1230	2	11.34	46.34
1231	1	1.29	8.3
1232	5	3.72	14.8
1233	1	10.57	52.06
1234	1	3.02	18.3
1235	1	1.0	6.8
1236	1	0.9	7.55
1237	1	0.8	9.3
1238	1	1.72	15.38
1239	5	0.7	7.25
1240	1	0.69	8.3
1241	1	0.9	10.0
1242	1	1.7	12.3
1243	1	1.62	15.36
1244	2	2.17	15.36
1245	1	0.26	9.96
1246	1	2.0	13.8
1247	1	9.8	45.99
1248	1	6.89	43.8
1249	1	1.2	10.3
1250	2	3.5	27.95
1251	1	1.77	14.76
1252	2	1.73	14.69
1253	1	2.63	17.16
1254	1	0.64	5.8
1255	1	0.64	6.3
1256	1	0.65	6.8
1257	1	0.8	7.56
1258	2	7.61	25.3
1259	1	4.09	23.8
1260	2	0.73	8.16
1261	1	0.71	6.8
1262	2	1.86	13.8
1263	1	2.1	15.8
1264	1	1.6	11.3
1265	1	0.5	6.0
1266	1	10.9	60.39
1267	4	2.7	20.16
1268	2	1.97	14.3
1269	1	1.0	7.3
1270	1	0.98	9.96
1271	5	1.36	15.96
1272	1	1.3	11.75
1273	1	1.49	17.76
1274	1	1.1	9.3
1275	1	1.3	13.55
1276	1	1.3	10.8
1277	1	1.43	13.3
1278	1	3.3	20.3
1279	1	0.9	8.15
1280	1	0.9	9.3
1281	1	2.4	12.8
1282	1	1.0	9.96
1283	1	2.59	16.8
1284	3	3.0	18.3
1285	2	0.7	17.76
1286	1	0.85	15.99
1287	6	1.31	9.3
1288	1	6.7	35.3
1289	1	1.2	9.3
1290	1	1.1	7.3
1291	1	0.79	7.8
1292	5	1.13	6.8
1293	2	12.9	44.8
1294	1	0.43	5.8
1295	1	1.28	7.3
1296	1	1.4	10.8
1297	1	0.18	3.8
1298	1	1.4	11.3
1299	1	1.0	8.8
1300	1	1.79	11.3
1301	1	11.1	42.99
1302	1	7.38	32.16
1303	1	1.09	9.8
1304	1	0.8	6.8
1305	1	0.42	6.8
1306	1	0.38	5.76
1307	1	5.0	24.36
1308	1	10.1	49.84
1309	1	0.79	8.76
1310	1	2.4	14.15
1311	1	7.0	30.35
1312	2	1.99	12.3
1313	1	7.8	44.75
1314	4	0.15	3.3
1315	1	0.8	6.3
1316	1	0.51	6.62
1317	2	0.4	11.0
1318	1	2.7	18.8
1319	1	4.0	21.95
1320	1	0.7	6.8
1321	1	0.8	8.15
1322	1	2.4	17.8
1323	1	7.33	26.3
1324	1	1.07	10.3
1325	1	1.9	14.3
1326	5	3.88	25.3
1327	1	1.4	10.3
1328	1	0.4	6.95
1329	1	0.76	7.56
1330	3	1.8	15.96
1331	1	12.7	48.5
1332	2	1.0	12.35
1333	1	1.45	11.8
1334	1	0.8	6.8
1335	1	4.66	35.16
1336	1	3.51	23.3
1337	1	2.9	22.8
1338	1	0.53	5.3
1339	1	3.89	29.12
1340	1	2.0	11.3
1341	1	7.32	30.96
1342	1	1.52	14.75
1343	5	0.79	9.8
1344	1	4.8	35.16
1345	1	0.99	6.8
1346	1	1.6	12.42
1347	1	0.9	18.35
1348	1	6.0	39.44
1349	1	0.5	6.8
1350	1	0.8	10.55
1351	1	1.0	16.3
1352	1	2.2	11.8
1353	4	0.72	6.36
1354	1	1.1	17.75
1355	1	0.7	6.8
1356	1	0.63	6.33
1357	6	1.67	13.3
1358	1	1.5	10.3
1359	2	1.3	9.3
1360	3	2.4	16.8
1361	1	1.7	15.3
1362	2	1.4	9.8
1363	6	1.53	12.96
1364	1	1.4	13.55
1365	2	8.4	34.56
1366	4	1.62	11.3
1367	1	1.43	14.3
1368	3	5.9	21.8
1369	1	1.71	14.04
1370	1	1.89	12.8
1371	5	0.88	9.96
1372	1	2.3	24.3
1373	1	2.8	12.3
1374	1	2.2	14.3
1375	1	0.66	4.8
1376	1	8.6	51.99
1377	1	1.0	11.75
1378	1	1.6	10.78
1379	1	1.0	8.3
1380	1	1.3	10.1
1381	1	1.14	8.8
1382	1	1.84	12.36
1383	1	2.0	10.56
1384	1	1.8	11.3
1385	1	1.25	15.8
1386	1	1.2	12.3
1387	1	0.81	9.3
1388	1	1.1	12.25
1389	6	0.68	5.8
1390	3	1.3	9.8
1391	1	0.7	8.8
1392	1	5.75	34.3
1393	2	2.4	14.8
1394	1	1.3	11.8
1395	1	13.7	45.84
1396	1	1.4	10.3
1397	1	3.7	26.6
1398	1	0.9	6.8
1399	2	11.3	42.84
1400	1	9.7	50.2
1401	1	3.19	29.12
1402	1	0.98	6.96
1403	1	0.96	9.36
1404	1	12.67	50.34
1405	1	16.3	63.34
1406	5	6.5	23.3
1407	1	1.23	10.3
1408	1	9.5	41.84
1409	1	1.29	13.0
1410	1	1.1	9.35
1411	1	3.8	22.3
1412	1	1.7	10.3
1413	1	1.34	12.25
1414	1	0.3	3.8
1415	2	0.9	7.3
1416	1	0.7	18.35
1417	1	0.6	6.3
1418	1	1.3	8.8
1419	1	5.7	25.8
1420	1	3.0	16.8
1421	2	0.77	7.8
1422	4	2.52	12.8
1423	1	1.21	9.36
1424	4	1.58	9.8
1425	1	0.8	6.62
1426	1	4.04	17.3
1427	1	1.2	14.3
1428	1	0.29	3.8
1429	5	2.12	19.56
1430	1	16.7	69.99
1431	1	0.9	10.75
1432	1	19.12	70.01
1433	1	1.1	15.3
1434	2	2.04	10.3
1435	1	1.14	8.76
1436	1	4.5	30.94
1437	1	1.6	11.15
1438	1	0.9	9.8
1439	1	0.96	9.8
1440	1	1.2	9.36
1441	1	0.8	8.3
1442	1	0.8	7.3
1443	1	1.5	14.15
1444	2	2.21	11.8
1445	1	9.76	70.61
1446	1	0.8	7.55
1447	1	8.21	30.8
1448	1	0.9	9.3
1449	1	4.8	29.75
1450	1	1.21	10.56
1451	1	1.4	9.8
1452	1	2.66	15.3
1453	1	4.1	23.75
1454	1	1.85	23.3
1455	1	1.75	24.96
1456	1	1.17	8.4
1457	1	0.7	5.3
1458	2	4.26	23.3
1459	1	2.01	19.8
1460	1	0.9	8.8
1461	1	8.27	57.41
1462	1	2.92	24.36
1463	1	1.56	9.3
1464	1	0.47	7.3
1465	2	2.5	16.8
1466	5	1.45	8.8
1467	2	1.66	12.36
1468	1	1.13	10.56
1469	1	1.71	15.8
1470	1	0.99	7.3
1471	1	0.5	6.35
1472	1	2.71	15.8
1473	1	2.1	13.3
1474	1	10.0	53.84
1475	1	0.4	6.96
1476	1	10.13	67.3
1477	5	1.42	10.3
1478	1	0.72	6.96
1479	1	3.4	20.3
1480	1	0.6	6.8
1481	5	3.05	12.3
1482	2	0.6	7.55
1483	1	2.84	17.8
1484	1	1.0	11.8
1485	1	2.1	15.3
1486	6	0.76	10.8
1487	5	1.48	8.76
1488	5	1.37	12.25
1489	1	0.9	7.5
1490	1	1.1	12.8
1491	1	0.91	10.8
1492	1	1.02	11.0
1493	1	9.07	49.61
1494	1	0.8	8.3
1495	1	1.6	11.3
1496	1	1.5	10.8
1497	1	13.0	56.2
1498	1	0.4	4.8
1499	2	2.96	16.8
1500	1	1.29	6.8
1501	3	2.85	13.3
1502	1	1.0	9.12
1503	2	1.1	14.69
1504	1	0.9	10.55
1505	1	1.86	16.3
1506	1	2.8	18.95
1507	1	0.4	8.5
1508	1	1.36	16.8
1509	2	3.12	14.8
1510	1	1.4	10.8
1511	1	1.7	14.76
1512	1	0.8	7.55
1513	4	0.3	5.3
1514	6	0.86	8.76
1515	1	0.64	9.36
1516	1	0.51	5.76
1517	2	9.1	41.34
1518	2	1.49	10.56
1519	1	0.44	10.56
1520	1	9.8	38.3
1521	1	0.63	6.62
1522	1	7.26	29.75
1523	1	1.2	9.95
1524	1	16.2	51.8
1525	1	2.6	20.35
1526	1	1.92	13.0
1527	1	1.38	9.96
1528	2	1.04	9.96
1529	4	2.4	12.3
1530	1	0.65	6.8
1531	1	1.1	18.95
1532	5	2.3	14.8
1533	1	1.5	11.8
1534	1	1.6	11.8
1535	2	2.87	25.09
1536	1	2.23	13.8
1537	1	0.7	7.3
1538	1	0.43	7.8
1539	1	5.6	23.5
1540	1	0.8	5.8
1541	1	0.5	10.35
1542	5	1.31	7.8
1543	1	1.94	12.88
1544	6	0.5	5.3
1545	1	1.98	17.16
1546	1	1.0	9.96
1547	1	2.0	18.5
1548	1	2.2	14.0
1549	1	9.44	51.84
1550	6	2.84	16.3
1551	1	1.6	14.75
1552	1	0.24	5.76
1553	6	0.38	6.8
1554	1	1.6	13.3
1555	1	0.6	6.3
1556	2	0.2	5.8
1557	2	1.3	11.3
1558	1	2.8	19.8
1559	1	16.77	52.34
1560	5	2.13	11.8
1561	1	0.79	7.3
1562	3	2.34	13.8
1563	1	1.9	14.5
1564	3	1.2	11.8
1565	1	0.8	6.55
1566	2	1.1	9.8
1567	1	0.88	7.3
1568	1	1.9	12.3
1569	1	6.5	28.8
1570	1	3.8	32.75
1571	1	0.9	9.35
1572	1	0.59	6.8
1573	1	0.74	6.3
1574	1	1.08	14.04
1575	2	1.03	8.0
1576	1	1.28	10.3
1577	4	3.94	23.76
1578	4	2.0	17.29
1579	3	7.8	36.34
1580	1	1.6	11.76
1581	1	0.5	5.8
1582	1	0.9	7.8
1583	6	0.45	4.8
1584	1	4.08	24.42
1585	1	1.4	9.8
1586	1	0.8	11.8
1587	1	0.8	7.3
1588	1	0.7	7.55
1589	2	2.3	13.8
1590	2	1.1	9.95
1591	1	1.59	15.96
1592	1	1.33	14.16
1593	5	4.4	28.56
1594	1	0.7	7.3
1595	1	2.2	19.1
1596	5	2.69	17.76
1597	2	20.9	58.34
1598	1	1.4	11.3
1599	1	1.61	15.36
1600	1	0.84	8.3
1601	1	1.09	11.3
1602	1	0.7	7.8
1603	5	1.8	12.36
1604	1	0.5	6.8
1605	1	0.0	72.96
1606	1	1.06	9.3
1607	2	2.27	16.8
1608	4	2.06	12.3
1609	1	1.08	7.8
1610	1	2.5	15.3
1611	1	2.0	15.8
1612	1	0.74	9.49
1613	6	1.58	13.56
1614	1	3.11	14.3
1615	1	0.5	7.8
1616	1	2.1	15.95
1617	3	2.2	23.8
1618	2	3.46	22.8
1619	2	2.75	17.8
1620	1	11.25	56.21
1621	1	1.1	34.3
1622	5	1.36	11.16
1623	1	0.7	10.55
1624	1	1.24	8.16
1625	1	1.33	11.8
1626	1	7.38	28.8
1627	1	1.2	9.35
1628	1	1.48	10.8
1629	1	1.28	12.96
1630	1	0.76	6.96
1631	1	0.9	5.8
1632	2	1.0	10.6
1633	1	0.6	6.8
1634	1	3.56	25.38
1635	1	0.7	5.3
1636	1	3.0	26.15
1637	1	2.09	12.96
1638	1	3.08	25.56
1639	6	1.6	10.8
1640	1	28.8	72.92
1641	1	0.5	6.35
1642	1	0.72	5.8
1643	1	0.9	10.55
1644	6	0.73	5.3
1645	5	0.74	6.8
1646	1	1.9	19.1
1647	2	1.67	10.8
1648	1	0.6	7.3
1649	1	3.0	19.8
1650	1	2.7	17.15
1651	1	1.3	7.8
1652	1	2.4	11.8
1653	1	2.4	15.3
1654	1	6.7	24.0
1655	1	1.14	11.3
1656	1	1.8	14.15
1657	1	0.6	5.8
1658	1	1.28	10.3
1659	2	1.6	10.3
1660	1	0.67	8.3
1661	1	0.4	4.3
1662	1	0.63	6.36
1663	1	0.7	7.8
1664	1	4.4	37.85
1665	1	2.9	24.4
1666	2	2.41	21.96
1667	1	0.4	4.3
1668	1	11.4	64.59
1669	1	1.4	11.3
1670	1	0.94	10.0
1671	1	5.38	21.8
1672	5	2.43	14.8
1673	1	1.79	14.3
1674	1	0.3	4.8
1675	1	3.3	23.3
1676	1	0.6	5.3
1677	3	3.07	17.8
1678	1	1.75	12.8
1679	1	5.5	29.16
1680	1	1.26	11.16
1681	1	8.4	36.95
1682	1	1.17	11.62
1683	2	2.8	17.3
1684	1	0.9	11.6
1685	1	1.9	14.15
1686	5	1.67	14.76
1687	1	2.71	15.3
1688	1	1.4	14.76
1689	1	0.54	6.36
1690	1	1.0	8.8
1691	1	0.84	8.8
1692	1	2.21	18.05
1693	1	0.4	6.96
1694	1	8.8	35.15
1695	5	0.81	6.3
1696	1	3.0	16.3
1697	1	1.3	10.55
1698	1	0.92	11.8
1699	3	1.0	8.75
1700	2	4.93	20.3
1701	1	1.2	12.3
1702	1	0.76	11.3
1703	1	0.9	6.8
1704	1	2.31	15.8
1705	4	5.6	27.3
1706	2	0.4	8.8
1707	1	1.6	17.88
1708	2	15.6	76.59
1709	1	0.92	7.88
1710	1	0.5	5.3
1711	2	0.55	6.3
1712	5	0.53	8.16
1713	1	1.03	10.56
1714	1	1.64	17.3
1715	1	0.73	6.3
1716	3	1.64	11.3
1717	1	0.7	11.15
1718	1	0.96	12.36
1719	1	2.1	18.95
1720	1	1.7	16.55
1721	6	2.18	18.8
1722	6	1.05	9.36
1723	2	1.31	10.3
1724	1	4.92	26.8
1725	1	10.9	56.8
1726	1	1.53	11.3
1727	1	1.41	11.0
1728	1	2.89	18.3
1729	1	0.94	6.96
1730	3	6.69	28.3
1731	1	1.7	12.96
1732	1	1.28	7.8
1733	5	1.08	9.3
1734	1	6.0	30.35
1735	1	1.1	11.0
1736	4	9.7	37.84
1737	1	2.1	16.8
1738	1	2.4	15.8
1739	1	1.18	15.36
1740	5	1.29	17.16
1741	1	2.8	18.36
1742	3	0.95	6.8
1743	1	0.8	6.8
1744	5	19.69	66.34
1745	1	0.68	7.8
1746	3	11.0	53.09
1747	1	0.91	7.3
1748	1	4.6	30.95
1749	2	9.0	49.59
1750	1	1.7	15.3
1751	1	13.0	56.75
1752	1	0.9	8.3
1753	1	0.8	6.3
1754	2	1.56	12.8
1755	2	2.67	14.76
1756	1	1.1	10.3
1757	1	2.18	15.3
1758	1	2.3	21.35
1759	1	3.2	21.3
1760	1	1.7	12.8
1761	1	2.15	13.8
1762	1	1.08	9.36
1763	6	1.02	9.96
1764	1	1.1	8.75
1765	5	2.72	21.96
1766	2	1.73	18.36
1767	2	7.3	28.8
1768	4	2.1	11.3
1769	1	0.9	9.35
1770	1	0.1	3.8
1771	1	2.3	14.3
1772	1	2.0	13.0
1773	2	1.41	9.8
1774	1	0.73	12.8
1775	1	1.1	11.8
1776	4	1.35	13.5
1777	1	7.28	56.81
1778	1	0.5	6.8
1779	1	4.1	25.55
1780	1	1.0	10.3
1781	1	0.7	8.5
1782	1	2.18	23.76
1783	1	0.45	4.8
1784	1	1.76	11.0
1785	1	3.83	29.12
1786	1	10.9	46.67
1787	1	0.3	5.76
1788	1	0.6	6.96
1789	1	10.69	46.68
1790	2	4.4	18.3
1791	1	1.85	17.16
1792	1	4.9	27.3
1793	3	1.2	8.8
1794	1	6.82	24.8
1795	1	1.3	12.8
1796	1	1.9	14.8
1797	1	1.0	9.3
1798	1	1.0	7.8
1799	1	0.6	6.3
1800	1	5.4	33.96
1801	1	4.88	30.3
1802	6	11.28	39.34
1803	5	0.79	8.3
1804	5	2.18	13.56
1805	6	5.11	24.36
1806	1	1.1	11.0
1807	1	1.01	8.8
1808	1	1.7	12.3
1809	2	1.3	12.87
1810	1	0.68	8.16
1811	1	1.1	8.16
1812	1	18.0	70.0
1813	1	3.02	20.76
1814	1	3.4	22.55
1815	5	0.58	5.3
1816	1	1.4	11.3
1817	1	1.2	10.8
1818	1	1.7	12.3
1819	1	0.9	8.3
1820	1	1.11	9.3
1821	3	5.57	22.88
1822	1	2.4	23.75
1823	1	1.5	10.55
1824	1	0.77	7.8
1825	1	19.87	58.34
1826	1	0.6	5.3
1827	1	1.43	14.76
1828	1	8.71	43.01
1829	1	1.13	10.3
1830	2	1.93	14.76
1831	1	5.9	37.56
1832	1	1.0	8.5
1833	1	21.0	114.36
1834	1	1.9	15.95
1835	6	7.94	38.3
1836	1	1.5	14.15
1837	1	1.4	19.56
1838	1	1.33	9.3
1839	1	6.7	24.35
1840	1	2.2	16.3
1841	1	1.6	14.3
1842	5	24.91	68.8
1843	1	1.4	17.8
1844	1	1.0	7.3
1845	1	2.5	24.35
1846	2	1.03	9.0
1847	1	5.31	28.5
1848	1	2.6	15.8
1849	1	1.17	11.3
1850	1	2.62	18.36
1851	1	0.8	7.3
1852	1	0.8	5.8
1853	4	2.21	17.16
1854	2	2.25	16.8
1855	1	0.8	10.8
1856	6	1.17	12.3
1857	1	1.3	12.95
1858	1	0.39	4.8
1859	1	0.7	8.3
1860	1	1.37	8.8
1861	1	0.8	8.76
1862	2	0.88	9.12
1863	5	2.36	16.62
1864	5	1.54	9.3
1865	6	0.43	5.8
1866	1	5.5	36.6
1867	1	0.73	7.56
1868	5	1.65	12.3
1869	1	1.2	9.3
1870	6	0.66	6.3
1871	1	0.7	7.55
1872	2	0.5	4.8
1873	1	1.9	13.3
1874	6	2.94	16.8
1875	1	1.5	10.8
1876	1	0.69	8.5
1877	1	1.26	9.3
1878	1	0.49	6.62
1879	1	3.45	29.76
1880	2	4.98	30.36
1881	1	1.3	9.3
1882	1	1.72	22.56
1883	2	1.13	12.96
1884	1	2.1	13.0
1885	1	1.1	9.95
1886	1	2.98	31.0
1887	1	0.3	5.8
1888	1	0.6	6.8
1889	1	2.17	13.5
1890	1	2.4	15.96
1891	1	2.09	19.12
1892	1	0.38	4.8
1893	1	2.79	28.56
1894	1	17.73	58.34
1895	1	1.2	9.8
1896	1	0.96	10.14
1897	1	2.3	16.55
1898	1	1.61	13.3
1899	1	3.5	25.3
1900	1	2.05	15.3
1901	1	3.73	25.3
1902	2	20.3	63.34
1903	1	0.5	5.3
1904	2	4.5	25.8
1905	1	0.6	5.8
1906	3	1.35	13.3
1907	1	3.9	17.75
1908	1	2.29	17.6
1909	1	1.57	15.99
1910	1	0.98	12.09
1911	1	0.4	6.8
1912	1	0.9	8.8
1913	1	1.54	11.3
1914	1	1.4	12.35
1915	6	1.94	15.96
1916	1	1.0	7.3
1917	1	0.68	9.12
1918	1	4.7	20.3
1919	1	0.86	5.8
1920	1	1.36	12.96
1921	1	1.39	12.36
1922	1	2.0	11.0
1923	1	0.6	6.96
1924	2	0.6	6.95
1925	1	0.38	4.3
1926	1	1.14	12.2
1927	1	0.15	7.8
1928	1	0.4	7.3
1929	1	0.5	6.95
1930	1	3.65	22.56
1931	1	1.4	9.3
1932	2	5.0	21.3
1933	1	1.0	8.3
1934	2	0.5	8.76
1935	1	2.5	15.8
1936	1	0.61	6.3
1937	1	0.94	7.3
1938	1	4.7	32.25
1939	1	2.32	20.3
1940	1	1.35	10.8
1941	1	2.43	14.8
1942	1	1.3	8.3
1943	1	3.4	23.15
1944	1	7.5	28.9
1945	1	1.6	9.8
1946	1	2.5	17.85
1947	1	0.4	4.8
1948	1	18.66	58.34
1949	1	2.0	15.36
1950	1	3.32	18.8
1951	1	1.8	12.35
1952	1	5.43	24.96
1953	1	0.8	7.55
1954	1	3.3	16.8
1955	5	0.89	8.3
1956	6	2.36	22.25
1957	1	3.84	18.8
1958	1	1.0	8.3
1959	1	1.0	9.3
1960	1	1.4	11.76
1961	3	0.0	65.34
1962	1	1.26	8.8
1963	1	2.6	17.9
1964	1	0.6	7.5
1965	1	3.45	16.62
1966	2	0.99	9.96
1967	1	0.89	8.16
1968	1	2.5	14.76
1969	1	0.84	7.3
1970	5	5.31	31.56
1971	1	6.06	24.8
1972	2	1.4	9.3
1973	1	7.7	25.8
1974	4	1.57	12.8
1975	1	0.9	7.3
1976	1	0.7	6.3
1977	5	0.54	8.4
1978	1	1.9	12.8
1979	1	4.9	16.3
1980	1	1.39	17.25
1981	6	1.32	7.8
1982	1	1.3	12.8
1983	1	0.06	4.8
1984	1	1.7	12.8
1985	1	0.9	6.3
1986	1	1.02	9.96
1987	1	0.6	6.3
1988	1	0.2	5.05
1989	1	10.03	49.34
1990	1	20.96	58.34
1991	1	0.92	7.3
1992	1	0.4	6.85
1993	1	0.31	4.3
1994	1	0.3	6.0
1995	1	1.07	9.36
1996	1	8.7	40.84
1997	2	14.3	43.3
1998	1	1.2	10.3
1999	6	3.13	21.3
2000	2	1.06	12.25
2001	1	1.3	9.3
2002	1	7.95	24.3
2003	3	2.46	15.96
2004	1	4.6	16.8
2005	1	1.8	12.95
2006	1	0.8	8.76
2007	1	2.67	13.8
2008	2	1.22	12.25
2009	1	3.1	26.75
2010	1	0.7	7.3
2011	1	1.7	9.3
2012	1	1.16	11.16
2013	1	0.97	10.8
2014	1	9.81	44.34
2015	1	1.2	11.8
2016	1	1.27	12.25
2017	1	1.57	15.34
2018	1	0.4	5.0
2019	1	2.9	19.3
2020	1	1.8	11.3
2021	1	2.24	12.96
2022	1	0.59	7.8
2023	1	0.8	8.8
2024	2	9.9	54.39
2025	1	3.12	15.8
2026	1	1.2	12.95
2027	1	4.32	32.16
2028	1	6.97	26.8
2029	3	1.3	11.16
2030	1	0.81	11.16
2031	6	1.06	12.3
2032	1	2.06	13.3
2033	2	2.65	16.8
2034	1	2.36	16.3
2035	1	0.31	4.3
2036	1	3.4	30.35
2037	1	1.35	15.96
2038	6	8.79	39.84
2039	1	0.2	3.8
2040	3	1.25	11.0
2041	1	4.3	33.36
2042	2	3.97	21.3
2043	1	0.9	8.75
2044	1	1.46	10.8
2045	1	1.8	11.3
2046	2	1.13	11.76
2047	1	0.7	8.76
2048	1	2.7	17.88
2049	3	5.3	31.8
2050	1	2.4	11.05
2051	1	1.0	9.8
2052	1	5.3	30.38
2053	1	0.7	9.3
2054	1	0.92	9.96
2055	1	0.86	9.8
2056	5	8.64	34.61
2057	1	1.0	8.58
2058	1	0.8	8.0
2059	5	2.06	13.56
2060	1	2.2	17.3
2061	5	0.26	6.96
2062	1	2.0	14.15
2063	5	0.64	7.3
2064	1	1.9	13.8
2065	1	0.3	6.8
2066	1	1.1	9.35
2067	1	1.78	12.8
2068	1	11.94	46.84
2069	1	1.3	10.8
2070	5	0.82	6.3
2071	2	11.7	48.99
2072	1	0.4	6.95
2073	5	1.06	17.16
2074	1	0.65	6.36
2075	1	1.4	17.76
2076	1	3.31	16.3
2077	3	2.2	14.3
2078	1	1.03	11.76
2079	1	13.9	79.85
2080	4	0.53	6.8
2081	1	1.3	8.8
2082	1	0.44	7.3
2083	1	6.09	42.96
2084	1	9.68	45.36
2085	2	1.2	10.8
2086	1	3.5	19.8
2087	1	0.82	10.0
2088	1	1.0	8.75
2089	1	6.74	27.8
2090	3	0.8	9.3
2091	1	0.47	6.8
2092	1	0.3	4.8
2093	1	1.23	9.8
2094	1	1.6	13.5
2095	1	0.7	9.96
2096	2	1.37	6.8
2097	1	1.2	17.15
2098	1	1.2	10.85
2099	1	1.32	8.8
2100	1	2.92	30.38
2101	1	2.48	16.0
2102	1	0.88	11.8
2103	1	1.8	21.36
2104	2	8.7	42.84
2105	5	0.46	7.88
2106	2	3.7	22.8
2107	2	2.0	14.8
2108	1	1.4	11.3
2109	1	1.96	14.76
2110	6	1.24	14.3
2111	1	1.2	15.35
2112	1	1.8	14.16
2113	1	0.7	8.8
2114	2	1.0	12.8
2115	5	0.97	12.96
2116	3	1.6	17.25
2117	5	1.47	13.3
2118	1	1.57	9.96
2119	1	0.86	6.8
2120	2	1.09	9.8
2121	1	1.53	9.96
2122	6	0.37	5.8
2123	1	0.59	5.3
2124	1	21.65	70.01
2125	1	1.8	12.85
2126	1	3.61	28.99
2127	1	0.9	9.8
2128	1	2.3	13.3
2129	1	1.05	8.3
2130	1	2.3	21.35
2131	1	10.08	51.62
2132	1	0.4	5.8
2133	1	2.83	18.36
2134	1	2.0	14.16
2135	1	0.0	3.3
2136	1	0.8	9.8
2137	1	0.5	5.3
2138	1	1.2	8.8
2139	1	5.4	32.3
2140	2	5.38	17.8
2141	1	0.44	5.76
2142	1	0.3	8.1
2143	1	5.7	34.84
2144	1	1.7	9.8
2145	1	0.5	5.76
2146	1	10.2	45.35
2147	1	3.17	26.3
2148	1	1.6	16.3
2149	1	1.42	11.8
2150	2	5.94	22.56
2151	3	2.55	17.76
2152	1	1.9	13.55
2153	2	0.32	3.8
2154	1	2.55	19.8
2155	2	1.6	13.3
2156	1	3.69	20.8
2157	1	1.5	9.8
2158	1	1.21	7.8
2159	2	1.89	13.56
2160	1	0.84	7.3
2161	1	0.8	6.3
2162	1	1.6	13.8
2163	1	1.0	7.55
2164	2	4.75	30.96
2165	1	0.99	8.8
2166	1	10.4	52.61
2167	1	2.77	15.3
2168	1	1.2	11.16
2169	1	1.81	10.3
2170	1	1.08	7.8
2171	2	0.66	5.3
2172	1	1.5	17.3
2173	1	3.5	17.3
2174	1	1.1	9.0
2175	1	1.0	8.8
2176	1	0.75	7.3
2177	1	0.5	8.5
2178	1	12.32	44.75
2179	1	0.7	6.3
2180	1	4.5	32.25
2181	1	0.8	6.96
2182	1	2.76	19.75
2183	1	0.73	7.3
2184	2	1.0	7.25
2185	5	0.85	9.96
2186	1	1.2	12.09
2187	1	0.6	6.3
2188	1	1.4	17.85
2189	2	1.51	21.62
2190	1	1.7	10.56
2191	6	0.77	7.8
2192	6	3.81	25.56
2193	1	2.36	12.3
2194	1	1.74	14.75
2195	1	3.0	16.3
2196	1	1.33	11.16
2197	2	5.41	26.3
2198	1	0.79	7.88
2199	1	1.0	10.55
2200	1	1.3	9.35
2201	1	0.7	9.1
2202	1	9.21	41.84
2203	2	0.35	4.8
2204	5	1.0	10.0
2205	1	0.8	5.8
2206	4	1.8	10.3
2207	1	0.7	6.3
2208	2	3.0	18.96
2209	1	2.0	19.8
2210	2	2.67	20.76
2211	1	0.86	10.3
2212	3	0.43	6.0
2213	1	2.41	22.8
2214	1	1.38	6.8
2215	1	1.6	16.8
2216	3	5.2	18.3
2217	1	1.29	8.3
2218	1	0.88	8.76
2219	1	1.2	13.56
2220	6	1.56	14.12
